"Grad_Rate","Accept","Top10perc","Top25perc","F_Undergrad","P_Undergrad","PhD","Expend","Private"
60,1232,23,52,2885,537,70,7041,"Yes"
56,1924,16,29,2683,1227,29,10527,"Yes"
54,1097,22,50,1036,99,53,8735,"Yes"
59,349,60,89,510,63,92,19016,"Yes"
15,146,16,44,249,869,76,10922,"Yes"
55,479,38,62,678,41,67,9727,"Yes"
63,340,17,45,416,230,90,8861,"Yes"
73,1720,37,68,1594,32,89,11487,"Yes"
80,839,30,63,973,306,79,11644,"Yes"
52,498,21,44,799,78,40,8991,"Yes"
73,1425,37,75,1830,110,82,10932,"Yes"
76,1900,44,77,1707,44,73,11711,"Yes"
74,780,38,64,1130,638,60,7940,"Yes"
68,1080,44,73,1306,28,79,9305,"Yes"
55,313,23,46,1317,1235,36,8127,"Yes"
69,1093,9,22,1018,287,78,7355,"Yes"
100,992,83,96,1593,5,93,21424,"Yes"
59,908,19,40,1819,281,48,7994,"Yes"
46,704,14,23,1586,326,62,10908,"Yes"
34,2001,24,54,4190,1512,60,4010,"No"
48,661,25,44,712,23,69,42926,"Yes"
70,4664,20,63,9940,1035,83,5854,"No"
65,516,20,51,1251,767,55,6584,"Yes"
48,10308,24,49,22593,7585,88,4602,"No"
54,334,46,74,530,182,79,14579,"Yes"
48,1729,12,52,3602,939,57,4739,"No"
88,1700,23,59,1708,689,93,7100,"Yes"
69,6791,25,57,16262,1716,85,6642,"No"
58,513,12,30,2074,726,65,7836,"Yes"
71,1658,36,69,1950,38,78,9220,"Yes"
69,725,21,58,1337,300,66,6871,"Yes"
71,798,42,74,1120,15,81,11361,"Yes"
48,556,16,40,777,538,59,6523,"Yes"
65,483,21,47,958,466,58,6136,"Yes"
85,1366,30,61,2718,1460,68,8086,"Yes"
71,192,15,36,453,266,57,9337,"Yes"
79,838,50,85,1004,15,98,13894,"Yes"
91,1402,53,95,2121,69,83,12580,"Yes"
72,784,18,45,1811,3144,76,9084,"Yes"
72,5349,34,66,9919,484,71,7503,"Yes"
73,850,23,56,878,519,78,8954,"Yes"
84,707,39,63,1198,605,74,6668,"Yes"
52,494,17,36,709,131,78,7550,"Yes"
49,974,28,67,1964,623,61,7614,"Yes"
69,923,26,54,1085,81,87,12957,"Yes"
46,877,12,36,3796,824,57,3752,"No"
58,620,14,24,702,501,64,5922,"Yes"
55,327,25,53,457,2,35,16364,"Yes"
82,2330,20,60,3095,1533,87,10941,"Yes"
63,1221,37,68,1620,49,80,10511,"Yes"
48,816,16,41,706,62,62,7718,"Yes"
56,184,19,42,537,101,61,8324,"Yes"
35,384,11,28,347,74,63,7623,"Yes"
58,1150,12,30,2128,82,48,6817,"Yes"
72,588,67,88,1376,207,74,8649,"Yes"
51,336,25,55,421,27,76,8377,"Yes"
75,3028,15,55,5847,946,66,7041,"No"
53,358,15,30,653,129,61,6259,"Yes"
58,514,20,50,760,81,76,9073,"Yes"
72,13007,45,80,14971,3113,80,16836,"Yes"
96,1019,76,100,1490,8,93,20447,"Yes"
67,7333,14,45,13699,1213,81,6918,"No"
46,330,5,36,453,42,57,15387,"Yes"
85,3414,30,58,4531,643,75,7671,"Yes"
84,2743,48,77,2819,62,90,17150,"Yes"
49,274,12,41,917,479,71,5935,"Yes"
18,1228,10,26,1320,822,62,4900,"Yes"
58,351,16,44,738,430,39,8355,"Yes"
82,673,22,53,881,55,68,8655,"Yes"
33,5402,48,82,27378,1253,76,7916,"Yes"
97,3239,87,95,5643,349,99,20440,"Yes"
89,810,71,95,1088,16,100,17449,"Yes"
93,3813,49,85,3316,31,95,13675,"Yes"
78,688,32,70,1928,442,62,6333,"Yes"
83,2037,40,68,2607,148,77,9511,"Yes"
71,494,8,28,1035,446,59,7117,"Yes"
55,604,17,42,693,868,87,7922,"Yes"
60,247,23,52,1427,432,72,8985,"Yes"
59,3817,47,73,12911,1404,72,8453,"No"
61,3294,5,60,13494,1254,90,7268,"No"
81,1512,29,56,3401,136,75,7786,"Yes"
63,1339,20,54,3191,1204,77,3739,"Yes"
49,587,25,55,935,184,62,5391,"Yes"
64,2193,16,34,2978,434,90,7972,"Yes"
83,1382,34,66,1662,960,64,9557,"Yes"
52,90,10,52,282,331,10,7976,"Yes"
91,1579,75,93,1870,12,81,17960,"Yes"
74,5201,60,89,4265,291,86,24386,"Yes"
79,991,19,55,1357,737,74,7666,"Yes"
67,951,27,62,1776,239,61,6716,"Yes"
62,1427,20,43,1405,580,74,7364,"Yes"
67,3156,71,93,3051,513,95,19733,"Yes"
79,940,9,22,1547,294,89,6318,"No"
